DATAFLOW,LAST UPDATE,freq,so_eur,croparea,crops,unit,agrarea,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,AT,2013,19920,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,AT,2016,18220,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,BE,2013,2270,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,BE,2016,1800,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,BG,2013,77810,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,BG,2016,55150,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,CY,2013,32600,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,CY,2016,32590,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,CZ,2013,4520,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,CZ,2016,4720,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,DE,2013,32840,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,DE,2016,30150,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,DK,2013,4330,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,DK,2016,4200,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,EE,2013,1710,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,EE,2016,1310,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,EL,2013,522490,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,EL,2016,515210,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,ES,2013,599030,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,ES,2016,592880,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,FI,2013,1580,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,FI,2016,1550,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,FR,2013,111160,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,FR,2016,105660,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,HR,2013,127350,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,HR,2016,74780,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,HU,2013,140300,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,HU,2016,117350,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,IE,2013,1190,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,IE,2016,1390,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,IT,2013,670630,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,IT,2016,826890,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,LT,2013,76990,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,LT,2016,41280,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,LU,2013,420,
ESTAT:EF_LPC_FRUIT$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,PECR,HLD,TOTAL,LU,2016,390,
