DATAFLOW,LAST UPDATE,freq,treespec,prod_wd,unit,bark,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2011,5065.14,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2012,5189.46,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2013,4956.97,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2014,5058.83,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2015,4979.06,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2016,4590,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2017,4908.71,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2018,5243.22,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2019,5579.04,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,AT,2020,5327.12,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BE,2011,892.75,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BE,2017,1236.66,p
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BE,2018,1236.66,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BE,2019,1236.66,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BE,2020,1236.66,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BG,2011,2841,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BG,2013,2758.48,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BG,2014,2533.66,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BG,2015,2848.2,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BG,2016,2928,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BG,2017,2989.26,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BG,2018,2849.21,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,BG,2019,2709.26,
