DATAFLOW,LAST UPDATE,freq,treespec,prod_wd,unit,bark,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2011,18695.67,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2012,18020.68,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2013,17389.74,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2014,17088.55,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2015,17549.53,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2016,16763,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2017,17647.12,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2018,19192.06,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2019,18903.72,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,AT,2020,16789.57,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BE,2011,5128,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BE,2017,5351.3,p
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BE,2018,5351.3,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BE,2019,5351.3,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BE,2020,5351.3,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2011,6205,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2013,6154.52,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2014,5570.04,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2015,6372.1,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2016,6410,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2017,6405.27,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2018,6529.12,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2019,6163.7,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,BG,2020,5404.16,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2011,4861.01,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2012,4466.39,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2013,4577.12,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2014,4709.34,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2015,4356.61,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2016,4263,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2017,4483.97,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2018,4975.12,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2019,4397.44,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CH,2020,4577.33,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2011,8.49,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2013,9.4,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2014,8.81,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2015,10.6,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2016,16,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2017,15.53,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2018,10.95,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2019,9.37,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CY,2020,8.62,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2011,15381,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2012,15061,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2013,15331,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2014,15476,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2015,16163,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2016,17617,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2017,19387,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2018,25689,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,CZ,2019,32586,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,DE,2011,56141.58,
