DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AL,2014,30.00,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AL,2015,30.50,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AL,2016,32.00,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AL,2017,34.10,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AL,2018,34.90,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2011,129.84,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2012,110.97,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2013,100.96,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2014,121.08,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2015,108.64,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2016,106.17,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2017,86.51,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2018,82.69,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2019,84.45,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2020,90.66,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2021,97.21,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,AT,2022,91.55,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2011,27.32,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2012,27.13,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2013,28.45,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2014,19.82,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2015,24.31,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2016,28.98,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2017,27.28,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2018,26.82,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2019,27.55,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2020,34.34,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BA,2021,34.65,e
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2011,17.64,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2012,17.46,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2013,22.94,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2014,17.67,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2015,22.31,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2016,16.46,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2017,18.43,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2018,18.56,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2019,20.17,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2020,18.24,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2021,16.50,
ESTAT:TAG00053(1.0),29/11/22 23:00:00,A,C1400,PR_HU_EU,BE,2022,15.54,p
