id,agricultural_residues,forestry_residues,solid_wastes,rooftop_pv,open_field_pv,onshore_wind,offshore_wind,electricity_demand
ALB,0,0,0,17.24317526,3.7864143,"13.07976741, 55",4.595185145,7.031
AUT,4.7,4,3.6,"86.53017889, 16.11, 61.9","9.13219495, 143","16.78, 22.5, 95, 150, 34.25930776",0,66.861
BEL,2.2,5.8,5.4,"89.50030204, 81.7, 99.3","6.110721234, 95","30, 40, 52, 33, 9.802785673","11.57449327, 20.3",83.912
BGR,9,27.9,3.6,"91.68397095, 28.9","48.11582437, 350","71.13612868, 115, 204",13.06648828,31.7
BIH,0,0,0,42.84192922,18.83179758,"41.05645972, 117",0.025593893,10.843
CHE,6,12,7,66.74342733,6.501329004,"5.216605768, 15, 116",0,58.1
CYP,4.2,0,0.7,"29.75111445, 4.4",8.822284148,"3.228526151, 43",3.587524031,4.657
CZE,12.2,19.7,3.8,"99.58053036, 58.0","20.26257991, 207","71.61025471, 212, 214",0,62.224
DEU,43.3,102,27.3,"738.9548677, 148, 517.4","104.1560718, 896","152.1686131, 678, 707,  860, 1331","187.7417982, 292.1",505.175
DNK,9.7,3.8,3.2,"60.91041637, 31.2","15.64221389, 134","27.1203871, 264, 346","405.0204083, 60",33.626
ESP,23.8,48.1,23.8,"330.9239253, 233.2",649.7583838,"453.1770994, 1100",53.56532306,235.109
EST,1.1,10.3,0.4,"12.746277, 7.1","9.786042255, 46","61.98425536, 108",75.70299144,8.649
FIN,5,50,1.9,"43.22385846, 80.8","292.7557503, 57","402.0883102, 135",179.9597053,83.301
FRA,69,70.9,27.3,"819.9700304, 440.1",279.7772257,340.619224,127.5726778,442.447
GBR,23.3,11.3,23.2,"339.0234975, 303.9","252.052432, 580","188.7379983, 1274, 1392",440.1998795,302.662
GRC,4.3,0,0.7,"101.423232, 53.5","45.99943888, 425","68.21597305, 375, 430, 603",53.7154164,51.045
HRV,3.1,12.1,1.8,"74.32443422, 15.3","29.20842311, 113","29.55576293, 60","42.77723762, 150",16.854
HUN,15.9,14,4.3,"106.4403485, 37.5",21.9016503,"102.0198308, 203, 226, 585",0,43.838
IRL,0,1.6,2.4,"31.2727776,26.1","197.9892525, 184","30.56510487, 264",89.44501626,29.689
ITA,18,23,21.9,"495.9273948, 286.0","63.67495852, 1123","141.0586541, 484, 647, 1309",89.81979423,300.887
LTU,5,10.9,1.2,"30.7730265, 9.8","8.126648191, 161",60.64255828,10.78409244,11.954
LUX,0.1,0.6,0.3,"4.84620642, 6.4","1.353741168, 6","0.806648641, 5.3, 7",0,6.393
LVA,2.3,20,0.7,"15.63152822, 6.5","7.323092462, 82",77.67171901,54.94540626,6.93
MKD,0,0,0,13.39653458,13.03364829,"13.88796569, 49",0,6.636
MNE,0,0,0,8.401618755,2.265051828,8.525518595,0.779295683,2.978
NLD,1.4,1.2,0.9,"147.3725578, 105.3","23.15891413, 121","13.22189518, 133, 148, 239",296.7356769,113.846
NOR,0,0,0,22.29276909,530.5066586,"235.8643575, 1341",217.6729483,128.361
POL,34.2,40.8,7.3,"251.0498759, 132.8","39.21744878,816","212.7789013, 1175",45.10284636,157.314
PRT,1.4,34.3,1.6,"155.5771081, 46.4","129.4037732, 265","60.15705041, 87, 360",17.53383362,48.19
ROU,18.6,32.8,6.6,"201.9339596, 43.6",45.13842608,"236.8062228, 371, 379",16.64356185,50.203
SRB,0,0,0,90.74405664,17.06926609,"71.68627782, 216",0,30.57
SVK,4.5,13.4,1.8,"56.93803572, 25.0","9.480326848, 119","38.78192119, 73, 75, 188",0,26.457
SVN,0.2,11,0.1,"24.32562321, 13.0",1.636368028,"3.859709586, 6, 14, 66",0,13.55
SWE,6.5,65.1,2.8,"63.52723747, 127.5","433.1866146, 118","511.0254213, 528",219.3564001,131.028
